Order #%1 created at %2,คำสั่งซื้อ #%1 สร้างที่ %2
Order # %1 %2 | %3,ใบสั่งซื้อ #%1 %2 | %3
Order # %1,ใบสั่งซื้อ #%1
Order #,ใบสั่งซื้อ #
Order #,ใบสั่งซื้อ #
Order & Account Information,ข้อมูลการสั่งซื้อและข้อมูลบัญชี
Order,ใบสั่งซื้อ
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","หรือโทรหาเราที่ <a href=""tel:%store_phone"">%store_phone</a>"
Operations,การทำงาน
On Hold,หยุดไว้ชั่วคราว
Once your package ships we will send you a tracking number.,เมื่อจัดส่งพัสดุแล้วเราจะส่งหมายเลขติดตามให้คุณ
Once your package ships we will send an email with a link to track your order.,เราจะส่งอีเมลพร้อมลิงก์เพื่อติดตามคำสั่งซื้อของคุณ
Ok,ตกลง
Number,ตัวเลข
Not Notified,ไม่ได้รับแจ้ง
Notify Customer by Email,แจ้งลูกค้าทางอีเมล
Notified Date: %1,วันที่ที่แจ้ง: %1
Notified,การแจ้งเตือน
Notification Not Applicable,ไม่สามารถใช้งานได้
Notes for this Order,บันทึกสำหรับคำสั่งซื้อนี้
Not Capture,ไม่มีการเก็บ
No shipping information available,ไม่มีข้อมูลการจัดส่ง
No Payment Methods,ไม่มีวิธีการชำระเงิน
No ordered items,ไม่มีรายการสั่งซื้อ
No order(s) were released from on hold status.,ไม่มีคำสั่งซื้อออกจากสถานะการระงับ
No order(s) were put on hold.,ไม่มีคำสั่งซื้อถูกระงับ
No Items To Refund,ไม่มีรายการที่จะคืนเงิน
No items,ไม่มีรายการสินค้า
No Items,ไม่มีรายการสินค้า
No,ไม่
Newsletter Subscription,สมัครสมาชิกจดหมายข่าว
New Order Status,สถานะการสั่งซื้อใหม่
New Orders,คำสั่งซื้อใหม่
New Order RSS,RSS คำสั่งซื้อใหม่
New Order Confirmation Template for Guest,เทมเพลตการยืนยันคำสั่งซื้อใหม่สำหรับลูกค้าที่ไม่ได้ลงทะเบียน
New Order Confirmation Template,เทมเพลตการยืนยันคำสั่งซื้อใหม่
New Order Confirmation Email Sender,ผู้ส่งอีเมล์ยืนยันคำสั่งซื้อใหม่
New Order,คำสั่งซื้อใหม่
New Memo for #%1,ข้อควรจำใหม่สำหรับ #%1
New Memo,ข้อควรจำใหม่
New Invoice for Order #%1,ใบเสร็จใหม่สำหรับใบสั่งซื้อ #%1
New Invoice and Shipment for Order #%1,ใบเสร็จและการจัดส่งใหม่สำหรับใบสั่งซื้อ #%1
New Invoice,ใบส่งของใหม่
New Credit Memo for Order #%1,ใบลดหนี้ใหม่สำหรับใบสั่งซื้อ #%1
New Credit Memo for Invoice #%1,ใบลดหนี้ใหม่สำหรับใบเสร็จ #%1
New,ใหม่
Name,ชื่อ
N/A,N/A
My Orders,คำสั่งซื้อของฉัน
Multi-address Error to Show in Shopping Cart,ข้อผิดพลาดหลายรายการที่แสดงในรถเข็น
Multi-address Description Message,ข้อความอธิบายที่อยู่หลายรายการ
Move to Wish List,ใส่ในสิ่งที่คุณอยากได้
Move to Shopping Cart,ย้ายไปยังรถเข็น
Mixed,ปนกัน
Minimum Order Amount,คำสั่งซื้อต่ำสุด
Minimum Amount,ยอดรวมต่ำสุด
Message:,ข้อความ:
Message,ข้อความ
Memo Total,Memo Total
Maximum shipping amount allowed to refund is: %1,จำนวนเงินที่จัดส่งสูงสุดที่ได้รับอนุญาตให้คืนคือ: %1
Logo for PDF Print-outs (200x50),โลโก้สำหรับพิมพ์ PDF(200x50)
Logo for HTML Print View,โลโก้สำหรับ HTML Print View
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","โลโก้สำหรับเอกสาร HTML เท่านั้น ถ้าว่างให้ใช้ค่าเริ่มต้น <br /> (jpeg, gif, png)"
Link to the Previous Order,ลิงค์ไปยังคำสั่งซื้อที่แล้ว
Link to the New Order,ลิงค์ไปยังคำสั่งซื้อใหม่
Leave this box blank if you don't want to leave a gift message for the entire order.,ปล่อยให้ช่องนี้ว่างไว้หากคุณไม่ต้องการฝากข้อความของขวัญไว้สำหรับคำสั่งซื้อทั้งหมด
Last Ordered Items,สินค้าที่สั่งซื้อล่าสุด
Last Name,นามสกุล
Key,สำคัญ
Items to Refund,รายการที่คืนเงินแล้ว
Item Status,สถานะรายการ
Items Refunded,รายการที่จะคืนเงิน
Items Ordered,รายการที่สั่งซื้อ
Items Invoiced,รายการที่ออกใบส่งสินค้า
Items,รายการ
Item ordered qty,รายการที่สั่งซื้อจำนวนมาก
Item,ชิ้น
Is Closed,ถูกปิด
"IPN ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %1. Transaction ID: ""%2"". Credit Memo has not been created. Please create offline Credit Memo.","IPN ""คืนเงิน"" แล้ว การคืนเงินที่ออกโดยผู้ขาย แจ้งเกี่ยวกับจำนวนเงินที่ได้รับเงินคืนแล้ว %1 รหัสธุรกรรม: ""%2"" ยังไม่ได้สร้างใบลดหนี้ โปรดสร้าง Credit Memo แบบออฟไลน์"
Invoice voiding error,Invoice voiding error
Invoice Totals,ผลรวมของใบเสร็จ
Invoices,ใบเสร็จรับเงิน
Invoice History,ประวัติใบเสร็จรับเงิน
Invoice for your %store_name order,ใบเสร็จสำหรับคำสั่งซื้อ %store_name ของคุณ
Invoice Email Template for Guest,เทมเพลตอีเมล์ใบส่งสินค้าสำหรับลูกค้าที่ไม่ได้ลงทะเบียน
Invoice Email Template,เทมเพลตอีเมล์ใบส่งสินค้า
Invoice Email Sender,ผู้ส่งอีเมล์ใบส่งสินค้า
Invoice Date,วันที่ออกใบเสร็จรับเงิน
Invoiced,ใบเสร็จรับเงิน
Invoice Comments,ข้อคิดเห็น ใบส่งสินค้า
Invoice Comment Email Template for Guest,ข้อคิดเห็นเทมเพลตอีเมล์ใบส่งของสำหรับลูกค้าที่ไม่ได้ลงทะเบียน
Invoice Comment Email Template,ข้อคิดเห็นเทมเพลตอีเมล์ใบส่งของ
Invoice Comment Email Sender,ข้อคิดเห็นผู้ส่งอีเมล์์ใบส่งของ
Invoice capturing error,ข้อผิดพลาดในการจับภาพใบเสร็จ
Invoice canceling error,ข้อผิดพลาดในการยกเลิกใบเสร็จ
Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.,ประเภทใบเสร็จและการจัดส่งไม่ตรงกับบางรายการในใบสั่งซื้อนี้ คุณสามารถสร้างการจัดส่งได้หลังจากสร้างใบเสร็จเท่านั้น
Invoice and Ship,ใบเสร็จและจัดส่ง
Invoice and Packing Slip Design,การออกแบบใบเสร็จและการบรรจุ
Invoice #%1 created,สร้างใบเสร็จรับเงิน #%1
Invoice #%1 comment added,เพิ่มใบเสร็จ #%1 ความคิดเห็นแล้ว
Invoice #%1 | %2 | %4 (%3),ใบเสร็จรับเงิน #%1 | %2 | %4 (%3)
Invoice #,ใบเสร็จรับเงิน #
Invoice #,ใบเสร็จรับเงิน #
Invoice,ใบเสร็จรับเงิน
Invalid parent block for this block,บล็อกหลักสำหรับบล็อกนี้ไม่ถูกต้อง
Information,ข้อมูล
Include Tax to Amount,รวมภาษีเป็นจำนวนเงิน
Incl. Tax,รวมภาษีมูลค่าเพิ่ม
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","หากคุณมีข้อสงสัยเกี่ยวกับคำสั่งซื้อของคุณคุณสามารถส่งอีเมลมาที่ <a href=""mailto:%store_email"">%store_email</a> ได้"
"If the invoice was created offline, try creating an offline credit memo.",หากสร้างใบเสร็จแบบออฟไลน์ให้ลองสร้างบันทึกเครดิตแบบออฟไลน์
Id required,จำเป็นต้องระบุ
ID required,ต้องระบุ ID
Identifying Fields required,ระบุฟิลด์ที่ต้องการ
ID,ID
Home,หน้าหลัก
Hold,ระงับ
hold,ระงับ
Hide Customer IP,ซ่อน IP ของลูกค้า
Guest,ผู้ใช้ทั่วไป
Group was removed,กลุ่มถูกนำออกแล้ว
Grand Total to be Charged,ยอดรวมทั้งหมดที่เรียกเก็บ
Grand Total Incl. Tax,ยอดรวมรวมภาษี
Grand Total Excl. Tax,ยอดรวมไม่รวมภาษี
Grand Total (Purchased),ยอดรวม (สั่งซื้อแล้ว)
Grand Total (Base),ยอดรวม
Grand Total,ยอดรวม
Go to Home Page,ไปยังหน้าหน้าหลัก
Gift Options for,ตัวเลือกของขวัญ สำหรับ
Gift Options,ตัวเลือกของขวัญ
Gift Message for this Order,คำอวยพรของขวัญสำหรับคำสั่งซื้อนี้
Gift Message for This Order,คำอวยพรของขวัญสำหรับคำสั่งซื้อนี้
Gift Message for the Entire Order,คำอวยพรของขวัญ
Gift Message,คำอวยพร
Get shipping methods and rates,ขอวิธีการจัดส่งสินค้าและอัตราค่าบริการ
Get Payment Update,รับการอัปเดตการชำระเงิน
General,ทั่วไป
From Name,จากคุณ
From:,จาก:
From,จาก
First Name,ชื่อ
Find Order By,ค้นหาคำสั่งซื้อโดย
Fetch,เรียก
Excl. Tax,ไม่รวมภาษีมูลค่าเพิ่ม
Exception occurred during order load,ข้อยกเว้นเกิดขึ้นระหว่างการสั่งซื้อสินค้า
Error to Show in Shopping Cart,ข้อผิดพลาดในการแสดงในรถเข็น
Enabled,เปิดการใช้งาน
Enable,เปิดใช้งาน
"Email template chosen based on theme fallback when ""Default"" option is selected.","เทมเพลตอีเมลที่จะย้อนกลับมาเป็นแบบเดิมเมื่อเลือกตัวเลือก ""เริ่มต้น"""
Email Order Confirmation,ส่งอีเมล์ยืนยันคำสั่งซื้อ
Email has not been sent,ยังไม่ได้ส่งอีเมล
Email Copy of Invoice,สำเนาอีเมล์ใบส่งของ
Email Copy of Credit Memo,สำเนาอีเมล์ของใบลดหนี้
Email,อีเมล
Edit Order Status,แก้ไขสถานะใบสั่งซื้อ
Edit Order %1 %2 Address,แก้ไขคำสั่งซื้อ%1 %2 ที่อยู่
Edit Order #%1,แก้ไขคำสั่งซื้อ #%1
Edit Order,แก้ไขคำสั่งซื้อ
Edit,แก้ไข
Display Order ID in Header,แสดงรหัสคำสั่งซื้อในส่วนหัว
Discount Amount,จำนวนส่วนลด
Discount (%1),ส่วนลด (%1)
Discount,ส่วนลด
Details for %1 #%2,รายละเอียดสำหรับ %1 #%2
Description Message,ข้อความอธิบาย
Deny Payment,ปฏิเสธการชำระเงิน
Denied the payment online,ปฏิเสธการชำระเงินออนไลน์
Default Template,เทมเพลตเริ่มต้น
Default Status,สถานะเริ่มต้น
Date,วันที่
Dashboard,แผงควบคุม
Custom Price,ราคาที่กำหนดเอง
Customer Order Status Notification,การแจ้งสถานะใบสั่งซื้อของลูกค้า
Customer Name: %1,ชื่อลูกค้า: %1
Customer Name,ชื่อลูกค้า
Customer Group,กลุ่มลูกค้า
Customer Email,อีเมลของลูกค้า
Customer's Activities,กิจกรรมของลูกค้า
Customer,ลูกค้า
Current Status: %1<br/>,สถานะปัจจุบัน: %1 <br/>
Credit Memo Totals,ยอดรวมเครดิตเครดิต
Credit Memos,ใบลดหนี้
Credit Memo History,ประวัติบันทึกเครดิต
Credit memo has not been canceled.,ใบลดหนี้ยังไม่ถูกยกเลิก
Credit memo for your %store_name order,ใบลดหนี้สำหรับคำสั่งซื้อ %store_name ของคุณ
Credit Memo Email Template for Guest,อีเมล์เทมเพลตใบลดหนี้สำหรับลูกค้าที่ไม่ได้ลงทะเบียน
Credit Memo Email Template,อีเมล์เทมเพลตใบลดหนี้
Credit Memo Email Sender,ผู้ส่งอีเมล์ใบลดหนี้
Credit Memo Comments,ความเห็นเกี่ยวกับใบลดหนี้
Credit Memo Comment Email Template for Guest,อีเมล์ข้อคิดเห็นเทมเพลตใบลดหนี้สำหรับลูกค้าที่ไม่ได้ลงทะเบียน
Credit Memo Comment Email Template,อีเมล์ข้อคิดเห็นเทมเพลตใบลดหนี้
Credit Memo Comment Email Sender,ผู้ส่งอีเมล์ข้อคิดเห็นใบลดหนี้
Credit memo #%1 created,ใบลดหนี้ #%1 สร้างสำเร็จ
Credit memo #%1 comment added,ใบลดหนี้ #%1 แสดงคิดเห็นแล้ว
Credit Memo #%1 | %3 | %2 (%4),ใบลดหนี้ #%1 | %3 | %2 (%4)
Credit Memo #,ใบลดหนี้ #
Credit Memo,ใบลดหนี้
Create Shipment,สร้างการส่งสินค้า
Create New Status,สร้างสถานะใหม่
Create New Order Status,สร้างสถานะการสั่งซื้อใหม่
Create New Order in %1,สร้างคำสั่งซื้อใหม่ใน %1
Create New Order for New Customer,สร้างคำสั่งซื้อใหม่เพื่อลูกค้าใหม่
Create New Order for %1 in %2,สร้าง %1 คำสั่งใน %1 ใน %1
Create New Order for %1,สร้างคำสั่งซื้อใหม่สำหรับ %1
Create New Order,สร้างรายการสั่งซื้อใหม่
Create New Customer,สร้างลูกค้าใหม่
Created At,สร้างที่
Created,สร้างแล้ว
Create,สร้าง
Coupons,คูปอง
Country,ประเทศ
Could not save shipment,ไม่สามารถบันทึกการจัดส่งได้
Could not save order address,ไม่สามารถบันทึกที่อยู่คำสั่งซื้อ
Could not save credit memo,ไม่สามารถบันทึกใบลดหนี้ได้
"Could not save a shipment, see error log for details",ไม่สามารถบันทึกการจัดส่งได้โปรดดูที่บันทึกข้อผิดพลาดเพื่อดูรายละเอียด
"Could not save an invoice, see error log for details",ไม่สามารถบันทึกใบเสร็จได้โปรดดูที่บันทึกข้อผิดพลาดเพื่อดูรายละเอียด
"Could not save a Creditmemo, see error log for details",ไม่สามารถบันทึกใบลดหนี้ ได้โปรดดูรายละเอียดที่บันทึกข้อผิดพลาด
Could not delete shipment,ไม่สามารถลบการจัดส่ง
Could not delete order address,ไม่สามารถลบที่อยู่คำสั่งซื้อ
Could not delete credit memo,ไม่สามารถลบบันทึกสินเชื่อ
Could not cancel creditmemo,ไม่สามารถยกเลิกใบลดหนี้
Continue,ต่อเนื่อง
Configure and Add to Order,กำหนดค่าและเพิ่มในใบสั่ง
Configure,กำหนดค่า
Complete,สำเร็จ
Company,บริษัท
Comment Text,ข้อความความคิดเห็น
Comments History,ประวัติการแสดงความคิดเห็น
Comment added,แสดงความคิดเห็นเมื่อ
Comment: %1<br/>,คความคิดเห็น: %1<br/>
Comment,ความคิดเห็น
Comma-separated,คั่นด้วยเครื่องหมายจุลภาค
Closed,ปิดเรียบร้อยแล้ว
Close,ปิด
Click to change shipping method,คลิ๊กเพื่อเปลี่ยนแปลงวิธีการจัดส่งสินค้า
Clear Shopping Cart,ล้างตะกร้าสินค้า
City,เมือง
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.",เลือกว่าจะแสดง IP ของลูกค้าในใบสั่งซื้อใบเสร็จการจัดส่งและใบลดหนี้
Child Transactions,ธุรกรรมเด็ก
Checkout Totals Sort Order,Checkout คำสั่งซื้อที่เรียงลำดับทั้งหมด
"Changing address information will not recalculate shipping, tax or other order amount.",การเปลี่ยนข้อมูลที่อยู่จะไม่คำนวณยอดจัดส่งค่าภาษีหรือใบสั่งอื่น ๆ อีก
Cart Price Rule,ข้อกำหนดราคารถเข็นสินค้า
Capture Online,จับภาพออนไลน์
Capture Offline,จับภาพแบบออฟไลน์
Captured amount of %1 online.,จำนวนที่จับได้ของ %1 ออนไลน์
Capture,การจับภาพ
Cannot update item quantity.,ไม่สามารถอัพเดตปริมาณสินค้าได้
Cannot unassign status from state,ไม่สามารถยกเลิกการมอบหมายสถานะจากรัฐ
Cannot save track:\n%1,ไม่สามารถบันทึกเส้นทาง: \n%1
Cannot save comment:\n%1,ไม่สามารถบันทึกความคิดเห็น: \n%1
Cannot create online refund for Refund to Store Credit.,ไม่สามารถสร้างการคืนเงินออนไลน์สำหรับการคืนเงินให้กับเครดิตของร้านค้า
Cannot add new comment.,ไม่สามารถเพิ่มความคิดเห็นใหม่ได้
Canceled order online,การเก็บออฟไลน์
Canceled order offline,การเก็บออฟไลน์
Canceled,ยกเลิกเรียบร้อยแล้ว
Cancel,ยกเลิก
Can't unhold order.,ไม่สามารถสั่งซื้อสินค้าได้
Buy %1 for price %2,ซื้อ %1 สำหรับราคา %2
Bill-to Name,ชื่อในการจัดส่งบิล
Billing ZIP Code,รหัสไปรษณีย์การเรียกเก็บเงิน
Billing Last Name,สกุลในการจัดส่งบิล
Billing Info,ข้อมูลของบิล
Billing Address:,ที่อยู่ในการจัดส่งบิล:
Billing Address,ที่อยู่ในการจัดส่งบิล
Billing,บิล
Back to My Orders,กลับไปยังคำสั่งซื้อของฉัน
Backordered,กลับไปคำสั่งซื้อ
Back,ย้อนกลับ
Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.,จำนวนเงินที่ได้รับอนุญาต %1 คำสั่งซื้อถูกระงับเนื่องจากมีผู้ต้องสงสัยว่าเป็นผู้ให้บริการจำนวน %1
Authorized amount of %1.,จำนวนเงินที่ได้รับอนุญาต %1
Authorized amount of %1,จำนวนเงินที่ได้รับอนุญาต %1
Authorization,การอนุมัติ
"At minimum, you need to set a payment ID.",อย่างน้อยคุณต้องตั้งรหัสการชำระเงิน
Asynchronous sending,การส่งแบบอะซิงโครนัส
Asynchronous indexing,การจัดทำดัชนีแบบอะซิงโครนัส
Assign Status to State,กำหนดสถานะให้รัฐ
Assign Order Status to State,กำหนดสถานะใบสั่งซื้อให้กับรัฐ
Assignment Information,ข้อมูลการมอบหมาย
A shipment cannot be created when an order has a status of %1,ไม่สามารถจัดส่งได้เมื่อคำสั่งซื้อมีสถานะเป็น %1
Are you sure you want to void the payment?,คุณแน่ใจหรือไม่ว่าต้องการยกเลิกการชำระเงิน
Are you sure you want to send an order email to customer?,คุณแน่ใจหรือไม่ว่าต้องการส่งอีเมลคำสั่งซื้อไปยังลูกค้า
Are you sure you want to send an invoice email to customer?,คุณแน่ใจหรือไม่ว่าต้องการส่งอีเมลใบเสร็จไปยังลูกค้า
Are you sure you want to send a credit memo email to customer?,คุณแน่ใจหรือไม่ว่าต้องการส่งอีเมลใบลดหนี้ไปยังลูกค้า
Are you sure you want to deny this payment?,คุณแน่ใจหรือไม่ว่าต้องการปฏิเสธการชำระเงินนี้
Are you sure you want to delete all items from shopping cart?,คุณแน่ใจหรือไม่ว่าต้องการลบรายการทั้งหมดออกจากตะกร้าสินค้า?
Are you sure you want to cancel this order?,คุณแน่ใจว่าต้องการยกเลิกคำสั่งซื้อนี้
Are you sure you want to accept this payment?,คุณแน่ใจหรือไม่ว่าต้องการยอมรับการชำระเงินนี้
Are you sure? This order will be canceled and a new one will be created instead.,คุณแน่ใจไหม? คำสั่งซื้อนี้จะถูกยกเลิกและจะมีการสร้างคำสั่งซื้อใหม่แทน
Approved the payment online.,อนุมัติการชำระเงินทางออนไลน์แล้ว
Apply Coupon Code,นำรหัสคูปองไปใช้
Apply,ปรับใช้
Applies to Any of the Specified Order Statuses except canceled orders,ใช้กับสถานะการสั่งซื้อใด ๆ ที่ระบุยกเว้นคำสั่งซื้อที่ถูกยกเลิก
Append Comments,ส่งข้อคิดเห็น
A PDF page object is not specified.,ไม่ได้ระบุวัตถุเพจ PDF
A PDF object is not specified.,ไม่ได้ระบุวัตถุ PDF
Any,อะไรก็ได้
An item object is not specified.,ไม่ได้ระบุวัตถุรายการ
An invoice cannot be created when an order has a status of %1,ไม่สามารถสร้างใบกำกับสินค้าเมื่อคำสั่งซื้อมีสถานะเป็น %1
Anchor Custom Title,ยึดชื่อที่กำหนดเอง
An amount of %1 will be captured after being approved at the payment gateway.,จำนวน %1 จะถูกบันทึกหลังจากได้รับการอนุมัติจากการชำระเงิน
Amount: %1.,จำนวน %1
Amount,จำนวน
All Store Views,มุมมองร้านค้าทั้งหมด
Allow Reorder,อนุญาตให้จัดเรียงใหม่
A hold action is not available.,ไม่มีการระงับการกระทำ
Adjustment Refund,ค่าธรรมเนียมการคืนเงิน
Adjustment Fee,ค่าธรรมเนียมการปรับโครงสร้าง
Add To Order,เพิ่มในการสั่งซื้อ
Add to Cart,เพิ่มในตะกร้า
Add Selected Product(s) to Order,เพิ่มผลิตภัณฑ์ที่เลือกไว้ในการสั่งซื้อ
Address Information,ข้อมูลที่อยู่
Address,ที่อยู่
Add Products,เพิ่มสินค้า
Add New Address,เพิ่มที่อยู่ใหม่
Actions,การกระทำ
Action,การกระทำ
A creditmemo can not be created when an order has a status of %1,ไม่สามารถสร้างเครดิตเมมโมเมื่อคำสั่งซื้อมีสถานะเป็น %1
Account Information,ข้อมูลบัญชีผู้ใช้
Accept Payment,ยอมรับการชำระเงิน
Accept or Deny Payment,ยอมรับหรือปฏิเสธการชำระเงิน
About Your Refund,เกี่ยวกับการขอคืนเงืนของคุณ
About Your Order,เกี่ยวกับใบสั่งซื้อของคุณ
About Your Invoice,เกี่ยวกับใบเสร็จรับเงินของคุณ
1%,1%
"<span class=""label"">Order Date:</span> %1","<span class = ""label""> วันที่สั่งซื้อ: </ span>%1"
"%name,","%name,"
"%customer_name,","%ชื่อลูกค้า,"
%1 with %2 discount each,%1 มีส่วนลด %2 แต่ละรายการ
%1 order(s) were not released from on hold status.,%1 คำสั่งซื้อไม่ได้รับการเผยแพร่จากสถานะการระงับ
%1 order(s) were not put on hold.,ไม่ได้สั่งซื้อ %1 รายการ
%1 order(s) have been released from on hold status.,%1 คำสั่งซื้อได้รับการเผยแพร่จากสถานะการระงับ
%1 order(s) cannot be canceled.,ไม่สามารถยกเลิกคำสั่งซื้อ %1 ได้
%1 for %2,%1 สำหรับ %2
%1 / %2 rate:,%1 / %2 อัตรา:
* - Enter custom price including tax,* - ระบุราคาเอง(รวมภาษีแล้ว)
* - Enter custom price excluding tax,* - ระบุราคาเอง(ไม่ภาษีแล้ว)
[deleted],[deleted]
"""Shipment Document Validation Error(s):\n"" .",การตรวจสอบเอกสารการจัดส่งเอกสารข้อผิดพลาด: \n.
"""Invoice Document Validation Error(s):\n"" .","ข้อผิดพลาดในการตรวจสอบเอกสารใบเสร็จ: \ n ""."
"""Creditmemo Document Validation Error(s):\n"" .","ข้อผิดพลาดในการตรวจสอบเอกสาร Creditmemo: \ n ""."
"""%1"" coupon code was not applied. Do not apply discount is selected for item(s)","ไม่ได้ใช้คูปอง ""%1"" อย่าใช้ส่วนลดสำหรับรายการ"
"""%1"" coupon code is not valid.","รหัสคูปอง ""%1"" ไม่ถูกต้อง"
We removed %1 order(s) from the archive.,เรานำ %1 คำสั่งออกจากที่เก็บถาวร
We have removed the order from the archive.,เราได้ลบคำสั่งออกจากที่จัดเก็บแล้ว
We have archived the order.,เราได้เก็บคำสั่งซื้อแล้ว
We can't archive the selected order(s).,เราไม่สามารถจัดเก็บคำสั่งซื้อที่เลือกได้
We archived %1 order(s).,เราเก็บถาวร %1 คำสั่งแล้ว
Unhold,ปล่อย
Total Refunded,ยอดรวมขอคืนเงิน
Total Quantity,จำนวนทั้งหมด
There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.,ไม่สามารถลบร้านค้านี้ได้
Subtotal,ยอดรวม
Status,สถานะ
Ship-to Name,ชื่อในการจัดส่งสินค้า 
Shipping Information,ข้อมูลการจัดส่ง
Shipping and Handling,การจัดส่งและการรับ
Shipping Address,ที่อยู่จัดส่ง
Shipping & Handling,การจัดส่งและการรับ
Shipments,การส่งสินค้า
Shipment,การส่งสินค้า
Ship Date,วันจัดส่ง
Sales Archive,คลังข้อมูลการขาย
Return to Order Management,กลับไปที่การจัดการคำสั่งซื้อ
Restore from Archive,คืนค่าจากที่เก็บถาวร
Remove to Archive,นำออกไปเก็บถาวร
Refunded,คืนเงินแล้ว
Purchase Point,จุดสั่งซื้อ
Purchased From,สั่งซื้อจาก
Purchase Date,วันสั่งซื้อ
Print Shipping Labels,พิมพ์ฉลากการจัดส่ง
Print Packing Slips,พิมพ์เอกสารการบรรจุ
Print Invoices,พิมพ์ใบเสร็จ
Print Credit Memos,พิมพ์ใบลดหนี้
Print All,พิมพ์ทั้งหมด
Please specify the order ID to be removed from archive.,โปรดระบุรหัสคำสั่งซื้อที่จะนำออกจากที่เก็บถาวร
Please specify the order ID to be archived.,โปรดระบุรหัสคำสั่งซื้อที่จะเก็บถาวร
PDF Shipments,การจัดส่ง PDF
PDF Invoices,ใบเสร็จ PDF
PDF Credit Memos,PDF ใบลดหนี้เครดิต
Payment Method,วิธีการชำระเงิน
Order Statuses to be Archived,สถานะการสั่งซื้อที่จะเก็บถาวร
Order Status,สถานะการสั่งซื้อ
"Orders, Invoices, Shipments, Credit Memos Archiving","ใบสั่งซื้อ, ใบเสร็จ, การจัดส่ง, การจัดเก็บบันทึกสินเชื่อ"
Orders,รายการสั่งซื้อ
Order Date,วันสั่งซื้อ
Order #,ใบสั่งซื้อ #
Order,ใบสั่งซื้อ
Move to Order Management,ย้ายไปที่การจัดการคำสั่งซื้อ
Move to Archive,ย้ายไปที่คลัง
Mass Add,Mass เพิ่ม
Invoices,ใบเสร็จรับเงิน
Invoice Date,วันที่ออกใบเสร็จรับเงิน
Invoice,ใบเสร็จรับเงิน
ID,ID
Hold,ระงับ
Grand Total (Purchased),ยอดรวม (สั่งซื้อแล้ว)
Grand Total (Base),ยอดรวม
Grand Total,ยอดรวม
Go to Archive,ไปที่ที่เก็บ
Enable Archiving,เปิดใช้งานการเก็บถาวร
Email,อีเมล
Customer Name,ชื่อลูกค้า
Customer Group,กลุ่มลูกค้า
Customer Email,อีเมลของลูกค้า
Credit Memos,ใบลดหนี้
Credit Memo,ใบลดหนี้
Created,สร้างแล้ว
Cancel,ยกเลิก
Bill-to Name,ชื่อในการจัดส่งบิล
Billing Address,ที่อยู่ในการจัดส่งบิล
Archive Orders Purchased,เก็บคำสั่งซื้อที่จัดซื้อแล้ว
Archive,เอกสาร
Amount,จำนวน
All Store Views,มุมมองร้านค้าทั้งหมด
Adjustment Refund,ค่าธรรมเนียมการคืนเงิน
Adjustment Fee,ค่าธรรมเนียมการปรับโครงสร้าง
Add,เพิ่ม
The return to stock argument contains product item that is not part of the original order.,คำสั่งซื้อนี้มีรายการ (%1) และไม่สามารถแก้ไขได้ผ่านอินเทอร์เฟซผู้ดูแลระบบ หากคุณต้องการแก้ไขต่อรายการ (%2) จะถูกนำออกคำสั่งจะถูกยกเลิกและจะมีการวางคำสั่งซื้อใหม่
"The ""%1"" product is not part of the current creditmemo.",การรวมระบบนี้ไม่มีอยู่แล้ว
You saved the rule.,คุณบันทึกข้อกำหนดแล้ว
Your coupon was successfully removed.,คูปองของคุณถูกนำออกเรียบร้อยแล้ว
Your coupon was successfully applied.,คูปองของคุณใช้เรียบร้อยแล้ว
You deleted the rule.,คุณได้ลบข้อกำหนดแล้ว
Yes,ใช่
We cannot create the requested Coupon Qty. Please check your settings and try again.,เราไม่สามารถสร้างจำนวนคูปองที่ต้องการได้ โปรดตรวจสอบการตั้งค่าของคุณและลองอีกครั้ง
We can't find a rule to delete.,เราไม่พบกฎที่จะลบ
We can't delete the rule right now. Please review the log and try again.,เราไม่สามารถลบกฎได้ในขณะนี้ โปรดตรวจสอบบันทึกและลองอีกครั้ง
Websites,เว็บไซต์
Web Site,เว็บไซต์
Uses per Customer,การใช้ต่อลูกค้า
Uses per Coupon,ใช้ต่อคูปอง
Uses,การใช้
Use Auto Generation,ใช้การสร้างอัตโนมัติ
Usage limit enforced for logged in customers only.,จำกัดการใช้งานสำหรับลูกค้าที่ลงชื่อเข้าใช้เท่านั้น
Update the Product,อัพเดทสินค้า
Update product's %1 %2: %3,อัพเดตผลิตภัณฑ์ของ %1 %2: %3
Total Weight,รวมน้ำหนัก
total quantity,จำนวนทั้งหมด
Total Items Quantity,รวมจำนวนสินค้า
total amount,จำนวนเงินทั้งหมด
To Percentage,เป็นเปอร์เซ็นต์
To Fixed Value,กำหนดค่าคงที่
To,ถึง
Times Used,เวลาที่ใช้
This rule no longer exists.,กฎนี้ไม่มีอยู่อีกต่อไป
